Machine,Strategy,Tool_Type,Tool_Diameter,Tool_Tip_Radius,Tool_Length,Overhang,Num_of_Flutes,Gauge_Length,Holder,Tolerance,Block_X,Block_Y,Block_Z,Max_X,Min_X,Max_Y,Min_Y,Max_Z,Min_Z,Skim_Distance,Plunge_Distance,Global_Thickness,Radial_Thickness,Axial_Thickness,Cutting_Feed_Rate,Plunge_Feed_Rate,Rapid_Feed_Rate,Spindle,Cut_Length,Stepover,Stepdown,Machining_Thickness,Estimasi_Detik,Aktual_Detik
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.65,18.0,-260.8,61.937,-46.767,50.0,5.94,5,2.0,0.0,0.0,0.0,1500,750.0,7000,6000,30720.4,0.0,0.4,0.0,1234,1698
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,5.72,18.0,-260.8,61.937,-46.767,50.0,0.15,5,2.0,0.0,0.0,0.0,1400,700.0,7000,6000,63158.8,0.0,0.25,0.0,2734,2883
MATRIX,Offset Flat,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.005,126.0,82.0,18.0,62.522,-62.546,40.503,-44.874,10.0,0.0,5,2.0,0.0,0.0,0.0,1400,700.0,7000,6000,3001.7,4.0,0.0,0.0,130,144
MATRIX,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.1,126.0,82.0,18.0,54.78,-54.776,33.28,-33.214,10.0,-10.825,5,2.0,0.0,0.3,0.1,1400,700.0,7000,5500,15273.1,6.0,0.25,0.3,793,920
MATRIX,Drilling,Drill,3.0,0.0,3.0,30.0,2,164.0,dummy toolholder name,0.1,126.0,82.0,18.0,10.5,-10.5,17.0,-17.0,10.0,-2.0,5,2.0,0.0,0.0,0.0,38,3.8,7000,1400,12.0,0.0,0.0,0.0,19,30
MATRIX,Drilling,Drill,6.0,0.0,80.0,40.0,2,174.0,dummy toolholder name,0.1,126.0,82.0,18.0,10.5,-10.5,17.0,-17.0,10.0,-23.0,5,2.0,0.0,0.0,-5.0,40,4.0,7000,800,88.2,0.0,0.0,0.0,141,150
MATRIX,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.1,126.0,82.0,18.0,58.385,-58.411,34.701,-34.701,10.0,-10.625,5,2.0,0.3,0.0,0.0,1400,600.0,7000,7000,25801.4,3.0,0.3,0.3,1262,1633
MATRIX,3D Offset,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,18.0,53.936,-53.936,29.208,-29.207,10.0,-7.186,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,1228.9,0.25,0.0,0.0,65,90
MATRIX,3D Offset,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,18.0,53.934,-53.934,32.026,-32.026,10.0,-7.796,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,1245.46,0.1,0.0,0.0,70,105
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,20.0,2,104.5,MINI-MINI CHCUK MMC8-90,0.003,126.0,82.0,18.7,11.009,-11.009,17.509,-17.509,10.0,-19.0,5,2.0,0.0,-0.01,0.0,250,150.0,7000,3500,417.3,0.0,0.3,-0.01,110,130
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,20.0,2,104.5,MINI-MINI CHCUK MMC8-90,0.004,126.0,82.0,10.5,54.5,-54.5,33.0,-33.0,10.0,-10.5,5,2.0,0.0,0.0,0.0,1000,500.0,7000,6000,15990.8,0.0,0.3,0.0,961,1010
MATRIX,Offset Flat,End Mill,6.0,0.0,40.0,20.0,2,104.5,MINI-MINI CHCUK MMC8-90,0.005,126.0,82.0,10.2,54.484,-54.484,32.999,-32.999,10.0,-6.7,5,2.0,0.0,0.0,0.0,700,350.0,7000,6000,1083.57,3.0,0.0,0.0,186,221
MATRIX,Constant Z,End Mill,6.0,0.0,40.0,26.0,2,110.5,MINI-MINI CHCUK MMC8-90,0.01,126.0,82.0,8.8,55.2,-55.2,33.7,-33.7,-10.201,-60.0,5,2.0,0.0,0.7,0.0,1000,500.0,7000,5000,17096.9,0.0,0.25,0.7,1028,1235
